part_number,difficulty,estimated_time_minutes,tools_required,video_url,pdf_url,chromadb_doc_id
PS11701542,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=rryiwFOJBYg,,install_PS11701542
PS11722130,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=5oA-c0VklDg,,install_PS11722130
PS2580853,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=nxIKznINpf8,,install_PS2580853
PS11757236,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11757236
PS11738120,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11738120
PS2121513,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=_6xfzzeEWyw,,install_PS2121513
PS884734,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=kSohIGunxBw,,install_PS884734
PS11722126,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11722126
PS11731608,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11731608
PS12728638,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=2juGyjXFpyk,,install_PS12728638
PS11752778,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=zSCNN6KpDE8,,install_PS11752778
PS11739119,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=yqWpzesAc6U,,install_PS11739119
PS11739091,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11739091
PS11757048,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=v9hrs0zu0fo,,install_PS11757048
PS11738134,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=0G8QcWb_2Fw,,install_PS11738134
PS11739122,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=SaXgE3UwJ-k,,install_PS11739122
PS11752912,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=EFJ-YCLJmjE,,install_PS11752912
PS16556076,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16556076
PS16221878,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS16221878
PS12075548,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12075548
PS12724319,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12724319
PS9492801,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS9492801
PS12729558,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12729558
PS8733251,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS8733251
PS11757023,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=rU2i9x9FXdQ,,install_PS11757023
PS395284,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=CMJ6gk4a7EY,,install_PS395284
PS11723171,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=sid2K9W_ums,,install_PS11723171
PS8746522,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=VYbaD7lkfrg,,install_PS8746522
PS11742474,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=KB8k6VzE294,,install_PS11742474
PS11738900,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=OiV8lfb4cyE,,install_PS11738900
PS11743008,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=sX-P0iDewR0,,install_PS11743008
PS734935,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=RBJ10wFvJ2M,,install_PS734935
PS734936,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=JGlCNEgLfM0,,install_PS734936
PS429868,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=nr8TPEghgjs,,install_PS429868
