appliance_type,brand,issue_title,symptoms,possible_causes,diagnostic_steps,recommended_parts,chromadb_doc_id
refrigerator,"Frigidaire, Whirlpool",Not dispensing water,"[""Not dispensing water""]",[],[],"[""PS11701542"", ""PS11722130"", ""PS11701542"", ""PS11722130"", ""PS429724"", ""PS11722130"", ""PS11722130"", ""PS12731166"", ""PS7784018"", ""PS3497634""]",troubleshoot_50165
refrigerator,"Bosch, Frigidaire, GE, Samsung, Whirlpool",Ice maker not making ice,"[""Ice maker not making ice""]",[],[],"[""PS11701542"", ""PS11722130"", ""PS2580853"", ""PS11738120"", ""PS2121513"", ""PS11722126"", ""PS11701542"", ""PS11739119"", ""PS11739091"", ""PS11757048""]",troubleshoot_35558
refrigerator,"Bosch, Frigidaire, GE, Samsung, Whirlpool",Ice maker won’t dispense ice,"[""Ice maker won\u2019t dispense ice""]",[],[],"[""PS11701542"", ""PS11722130"", ""PS11738120"", ""PS2121513"", ""PS11752778"", ""PS11701542"", ""PS11739119"", ""PS11722130"", ""PS12075548"", ""PS2121513""]",troubleshoot_43394
refrigerator,"Frigidaire, GE, Samsung, Whirlpool",Leaking,"[""Leaking""]",[],[],"[""PS11701542"", ""PS11722130"", ""PS2580853"", ""PS11738120"", ""PS2121513"", ""PS11752778"", ""PS11701542"", ""PS11739119"", ""PS11739091"", ""PS11757048""]",troubleshoot_22137
refrigerator,"Frigidaire, GE, Whirlpool",Ice maker dispenses too little ice,"[""Ice maker dispenses too little ice""]",[],[],"[""PS11701542"", ""PS11722130"", ""PS2121513"", ""PS11701542"", ""PS11722130"", ""PS2121513"", ""PS11722130"", ""PS11722130"", ""PS2121513"", ""PS7784018""]",troubleshoot_42880
refrigerator,"Frigidaire, GE, Whirlpool",Noisy,"[""Noisy""]",[],[],"[""PS11722130"", ""PS2580853"", ""PS2121513"", ""PS11757048"", ""PS11722130"", ""PS11738134"", ""PS2580853"", ""PS11752912"", ""PS2121513"", ""PS11757023""]",troubleshoot_80711
refrigerator,"Frigidaire, Samsung, Whirlpool",Fridge too cold,"[""Fridge too cold""]",[],[],"[""PS11722130"", ""PS2580853"", ""PS11757048"", ""PS11722130"", ""PS11738134"", ""PS2580853"", ""PS11723171"", ""PS11742474"", ""PS11757048"", ""PS11722130""]",troubleshoot_8417
refrigerator,"Frigidaire, Whirlpool",Touchpad does not respond,"[""Touchpad does not respond""]",[],[],"[""PS11722130"", ""PS11739119"", ""PS11722130"", ""PS11739119"", ""PS429868"", ""PS429724"", ""PS11722130"", ""PS11722130"", ""PS11739119"", ""PS11722132""]",troubleshoot_66549
refrigerator,"Frigidaire, GE, Samsung, Whirlpool",Fridge too warm,"[""Fridge too warm""]",[],[],"[""PS2580853"", ""PS2580853"", ""PS11757023"", ""PS395284"", ""PS11723171"", ""PS8746522"", ""PS11742474"", ""PS11759515"", ""PS11757023"", ""PS1993820""]",troubleshoot_9544
refrigerator,"Frigidaire, GE, Whirlpool",Door Sweating,"[""Door Sweating""]",[],[],"[""PS2580853"", ""PS11739119"", ""PS11757048"", ""PS2580853"", ""PS11739119"", ""PS11757048"", ""PS11759515"", ""PS2358752"", ""PS2359946"", ""PS2364915""]",troubleshoot_3446
